transaction_id,store_id,product_id,quantity_refunded,refund_amount,refund_date,supervisor_id,created_at,updated_at
c1f27ab9-92f4-4c78-9ddd-039db90f2dca,c14d7a30-c394-421f-8d05-8da8bb5cbd19,ae491702-817d-42fd-9c5b-525c1548149a,7,259917.05,2024-01-22 04:24:08,45,2024-05-11 11:54:41,2024-04-11 06:50:36
339affb6-a3e2-4c5a-b1c8-64023e0d092b,f6faae56-ebee-4a0a-a8b5-9807bf13a44c,b067de98-6cf0-4bc4-801b-8c047d16db7c,1,158302.92,2024-02-14 19:44:22,70,2024-05-25 10:50:02,2024-06-28 03:47:11
6cc2944b-8552-4876-a3d0-7d9a0350fd95,b108aeeb-3f4e-4106-ae38-53fa8cdd1ebd,d71de7e1-bc4c-4e1e-a811-669f4748fd75,6,271754.81,2024-02-04 23:28:13,15,2024-01-03 21:51:46,2024-05-25 09:42:22
a27d2534-4350-4862-96c8-cedf83d87f43,c2568d3f-986b-4300-af74-a9578e031a0b,349f873c-aea9-42f9-9fd6-a71948c3a8da,8,96514.72,2024-07-09 05:02:08,84,2024-01-25 19:51:58,2024-03-17 19:58:07
ae793042-d026-47b6-8bcc-0e04f739fbb7,526c1233-672e-4a52-9fe5-a821f6386109,16959474-876e-4b54-9119-f7c8a5a780ac,7,118579.38,2024-02-21 00:47:56,5,2024-03-13 23:39:40,2024-05-13 08:45:43
60388071-1e3b-499c-840f-fb763155c3d7,69dc6d8c-f787-4902-bd93-eb0e04138c44,932c1f1f-a5da-4fa5-aa9f-f9a4fe5b8cf0,5,129219.73,2024-06-03 16:34:00,30,2024-01-14 22:57:25,2024-04-27 17:26:44
c9aec71d-1cd2-427c-8c5c-0d55b6c29312,acf86794-a52b-41c2-95d3-2185b751a03f,3dfd75c6-09dd-438d-a6fd-b317e7fadb34,7,99133.66,2024-07-19 15:14:45,2,2024-01-10 04:59:34,2024-02-23 06:18:35
15363e22-b02a-4c0f-9664-45ed731f1a97,4ae7b606-44cc-49a5-b864-e8d57e1875ad,8e612f93-e8a3-45fc-9a0c-9e7ce5fa17ce,3,127374.24,2024-05-27 19:53:21,63,2024-06-14 00:31:46,2024-06-05 23:08:19
bdaad43d-9fe3-4e11-907b-ae1a40a31f1a,be91c617-6292-46ba-80ac-ed7ae1f1272b,1979056e-0405-478d-a18c-837bf8aca5d6,2,138541.97,2024-06-27 10:05:56,64,2024-04-12 08:43:26,2024-06-06 20:09:26
3c243bcb-4f5d-43dd-87e0-c3d96c7d6c6c,75fdefe4-57b0-4f7f-b3d3-9d9aeb8f62d9,54b3a949-b4ca-4ea3-8edf-880e9cb7836d,5,82773.95,2024-08-30 23:36:32,56,2024-05-07 05:46:36,2024-04-02 22:04:28
de7cf5e5-3c06-43b0-a354-b0dcf98ea741,68572605-b576-4892-b0e4-67984ad283b2,e494a2dd-d344-4a9f-a7c1-fc5cc94ba6a2,7,67131.11,2024-04-25 13:29:18,80,2024-02-11 11:20:10,2024-03-02 11:23:50
9dc7ce34-8e89-4830-9e01-8848750afd0a,fb2d6b66-b271-4c6d-a157-69959d987514,6b6f45f6-7434-4435-9dd6-5972d06fa1a0,6,272236.82,2024-04-05 21:01:23,54,2024-03-03 19:50:34,2024-04-04 09:01:49
8c0cd654-4bb5-40be-b1e8-8ccbb8cc0241,7b044fff-dd64-4a5e-b53a-b6e90fbb0287,dd2b0a23-51e2-4cd4-a1fa-d5563ee81955,4,31118.34,2024-07-05 19:34:47,49,2024-06-19 20:15:05,2024-08-11 21:12:33
c2a8eb62-b445-4a04-bea6-f115f6d1b23a,784b7e08-5606-407e-a64b-19e845813309,6c82a39b-1cf5-4096-9aa0-adb7bfc61e40,5,2627.27,2024-02-24 19:20:04,23,2024-06-11 13:14:24,2024-05-12 01:19:09
0cb67db6-a74f-470c-ab4a-197e7542e5cd,feb944da-87c2-4498-98ad-4c02b9beb832,b3340913-db34-478e-8199-95b6ffc5ab36,6,207369.48,2024-05-24 06:27:06,91,2024-08-03 16:41:53,2024-07-25 17:07:06
17eb14ea-fdae-4983-80fd-0a930e17ae6e,c06d9eb6-a687-4a16-87e8-b68d97edbed9,6785183e-126a-4e49-995e-28a8405cb309,7,242279.78,2024-02-14 07:17:10,69,2024-04-07 20:55:27,2024-05-02 17:30:48
ffea11c3-cca0-445a-96ce-2379f6ad221b,e0b3e738-10ce-4be6-a0f0-2eb377ea5e2e,d5c90eae-c8a1-4037-9863-6ed0e202f079,2,230260.21,2024-03-08 07:34:15,29,2024-05-08 08:20:42,2024-05-19 09:46:25
19554c7b-7f95-49f4-8b7d-56cca589b230,3ca55b8f-42cb-4b50-94e4-f006fae962fb,f75a8a5c-466f-4a96-ba0c-f533f4211fcf,7,119747.55,2024-06-25 22:39:07,33,2024-05-25 19:32:46,2024-01-28 09:28:37
42af69fd-fd28-4482-ae55-9d53d989cf55,1f53a3a7-e34f-4df4-a4da-9361b8025804,e3574ac3-5783-4702-b752-b68ebb1ea48d,9,4371.69,2024-08-12 18:22:58,52,2024-03-09 20:55:15,2024-04-07 10:16:07
c09b44d8-abb9-44e7-adef-4f7ed8ca0b1f,3da23c11-3cbf-4cdd-971d-b79c57b5d6c4,13990f65-1a63-40d6-9338-3676746d1be1,10,91130.79,2024-02-27 20:42:10,36,2024-03-14 20:23:03,2024-05-30 00:25:45
8c04c133-593f-4651-845a-b1a536e27406,ccbcb249-504d-4305-8e08-a72c9ace0785,ca328c3a-1940-4b5d-8d3c-5740b520aa4e,10,216209.77,2024-05-04 16:50:59,2,2024-05-21 10:31:52,2024-05-01 10:53:00
3f390aef-bc5d-4b16-a48a-5ce7ea8cfa23,2c632452-323d-4b2d-a6fe-ef0d0e209d39,343fcc89-ab34-41d8-9bbc-1f92bdf0fe1d,6,95880.53,2024-03-09 12:43:26,66,2024-02-15 14:23:50,2024-01-16 12:30:40
ce3baa7a-2df5-49f6-9964-c949a2ccd661,13e4e56a-9572-467f-a6a0-6a360508bc9a,11b760a8-fdca-4ba0-84ab-ac862ceb55d2,2,33069.22,2024-07-10 11:23:13,39,2024-07-31 17:22:44,2024-02-19 03:38:30
4bf078b1-fb33-44d9-9c92-daf42b2f8562,9a6fd519-4a27-4941-b1d9-4ac82727c291,c8dd9962-18df-4bd9-8943-27feececbc68,10,238690.05,2024-03-02 20:45:39,87,2024-02-13 17:13:00,2024-01-24 15:13:29
ee05ef7e-60a2-4880-8045-61d4deb532ed,56e5b98d-1664-4ebe-b91d-c49ad8656403,2f3ccc99-9b2d-4c40-b844-c0b671c01bb7,8,40070.42,2024-05-02 22:31:22,38,2024-07-14 09:53:06,2024-05-06 23:58:38
23aed944-ba4b-422d-b006-c750f450bfbb,843974cb-7d17-4eaf-8c61-c09fc979d7d8,6828c4f4-dbe3-4f93-821f-f18bdd436064,6,153183.72,2024-01-07 20:35:16,60,2024-02-27 13:57:52,2024-07-23 03:52:55
7736d4af-a4bb-4142-96cf-f0145755bca2,1c3ff712-bbec-4b8e-b96e-4c103fd813a7,93b65105-31bf-428f-91eb-b08f97e5333c,4,56737.94,2024-03-01 03:30:21,16,2024-02-06 23:24:21,2024-06-02 15:38:09
fc11ac21-ff74-46e2-8fd5-77a6b8e6f4c7,84c43b29-a7d9-4921-9f7a-38a1ca25f6c4,5ab0b683-cff5-4b7d-9c6b-c36c671a9f5b,3,135707.38,2024-05-14 03:01:48,86,2024-07-05 02:58:14,2024-08-03 06:36:19
a48c4eb7-e5ca-4e2e-a61b-68d022f45722,2c77c572-0740-4837-80a1-14aef3560e22,af7dff7f-f8d0-41fc-949e-61a6ff62e60e,2,295176.94,2024-03-06 10:26:20,80,2024-02-04 13:35:26,2024-03-17 07:25:14
