transaction_id,store_id,product_id,quantity,sale_price,total_amount,sale_date,supervisor_id,created_at,updated_at
cdfb261a-0307-4f30-9347-467d78d21caa,49bb6f49-34f8-4c3b-9410-664db1c6fdd1,375841e3-2696-4619-b799-ada68ebf9f83,6,1065.09,6390.54,2021-06-17 16:32:57,33,2020-01-03 05:50:55,2022-10-27 17:46:03
3f450154-c2db-4598-bd70-679f0dbcd5ca,8eda916f-b8d4-4af1-8928-453060e83350,16959474-876e-4b54-9119-f7c8a5a780ac,4,40620.33,162481.32,2020-09-28 23:24:33,63,2022-05-28 00:40:10,2023-03-26 20:23:37
ddd70864-9683-496f-9a32-fe37784f630b,74895a30-019c-42d9-a26b-db4def12678a,14ec8325-4143-4189-a118-4f2abf03f822,1,282378.25,282378.25,2020-03-16 10:52:25,76,2021-12-25 12:52:29,2024-07-15 23:35:22
a96891c0-2f33-46a3-b81c-3fec00ad625d,ada34519-c171-490d-b139-579b409b0e26,7765e1ac-2da5-4784-b468-cf21c6eed971,3,188464.84,565394.52,2022-02-11 02:08:28,60,2020-11-24 07:36:25,2021-06-29 23:40:24
14397861-8789-41ea-9c58-6853e2021109,f51ac1cc-2c0c-4d65-8089-226a5890661f,063e9252-eab2-417f-8c1e-3a4c2b10e8ad,9,211805.64,1906250.76,2023-05-10 10:22:35,100,2021-06-18 06:43:20,2021-02-14 12:10:21
eae8d5ab-75a0-4f79-9544-17339595ba90,289d6d82-5e7a-4a2c-8827-68369d3748f8,1d420d03-40f5-4d3b-a488-62189507b7be,10,59630.15,596301.5,2022-07-31 00:21:26,34,2023-05-29 11:25:25,2023-10-11 15:48:55
87ba64cf-8d23-4238-897a-2023de50eee2,f0dadf64-9db6-4e87-8792-8f7248692ad7,dee82647-9cd0-43e8-9194-8a81a57371f4,5,184158.68,920793.4,2020-10-18 16:24:35,58,2024-01-21 18:31:06,2021-09-10 05:53:29
2e6faa1a-96dd-4aff-ac97-41b7b618ba87,97349870-73c0-4305-aa8c-d0b420b4fce6,5ba20aea-5dc2-4ae8-b422-347ac6550e61,7,6759.58,47317.06,2023-01-29 01:36:33,98,2022-01-12 09:00:57,2023-01-26 11:21:02
96ed47b2-6fe4-4357-a06c-a0b8c723795d,5d8551e0-6eda-4552-90a9-ccf951bfc229,abcd0c16-0b89-4175-891d-bbef38ea13ca,4,159088.79,636355.16,2023-10-08 06:59:22,37,2021-03-20 14:10:59,2023-05-31 15:20:01
3fbef2f6-1b17-4012-973d-39d468f6429d,4c6854a4-12bc-4176-85d6-cf0b10b36223,9555051d-d00d-447c-9006-ed12eca5b00d,4,185182.72,740730.88,2023-05-01 07:42:18,65,2023-03-13 18:48:33,2023-01-02 12:51:12
9d3f8138-dc77-46a3-9a6e-962e826c49b9,8bb4b148-10d3-4f93-80ba-3f3a79c32090,258aacc7-5d8d-4923-adae-3f0b4caa4b7b,7,122260.83,855825.81,2023-03-26 05:02:16,99,2021-08-12 02:56:42,2020-06-16 06:59:25
41e85113-19b2-4fdf-b713-c2bb381d1539,79e4cb20-ab15-4f84-8a2c-0ddf31c62101,776e2665-23e9-46a7-b9fb-eeba779c298d,8,239468.21,1915745.68,2022-05-24 18:50:03,63,2020-09-05 22:07:13,2021-03-06 19:55:52
c8668faa-bdf3-4408-ada3-8b668d953973,8418df0d-4c3a-4d64-8cd3-61d50f7ec242,90ce6af7-f8cf-4493-bcd2-6d26b441d626,8,79397.11,635176.88,2022-06-14 18:45:03,12,2024-05-02 23:06:42,2021-07-21 14:03:11
9100a56c-cc73-4771-8773-de131e0dfdb5,63fef036-89bd-4fb0-9ac1-4079cd6513ef,71846715-e2d9-4146-b4c7-15ec7f09e325,4,127325.53,509302.12,2023-11-10 21:47:26,65,2021-01-25 12:38:32,2020-11-29 09:28:24
f2421109-3f80-4ab6-a3e1-1da0cebbe998,44b48999-6bfa-495d-be33-a92ee79949f3,da9f400b-3797-4860-a62a-bf0de3a9930d,10,62505.1,625051.0,2021-09-01 15:51:10,37,2022-05-22 14:03:23,2020-07-18 13:33:50
68bd46a6-6f1f-42ef-a6a3-daac27021080,ddf11207-adef-4505-900a-ef97aed6012f,468a25b0-66b2-4c1f-a01f-4ace6f1b21f7,4,51828.69,207314.76,2024-08-16 10:59:33,11,2020-08-03 06:28:36,2024-07-31 03:35:27
a940e52a-d071-42f5-9feb-3b8b1abe661a,9685d15b-df35-4373-a8b8-ff3edd1c1ab3,146859e7-69b5-430c-b44c-9c280c095af9,10,262868.25,2628682.5,2022-05-01 13:23:33,50,2023-07-28 19:46:01,2020-10-02 02:20:41
b95d00b5-d8dd-4635-9f9c-ef76116b95b5,79d0a2e3-775e-40fa-b447-37900c8853e2,c962f55c-143a-4364-afef-9a4d53f93a09,1,254950.46,254950.46,2023-12-28 22:57:37,68,2020-10-01 02:56:20,2022-04-27 03:42:57
ecb08bb7-d1ac-475a-9f3e-07fa22db926a,b251de46-eac6-4619-9dda-98bf7106bded,90e08781-3c9b-4c43-91ca-ac0bacfb200c,5,168190.06,840950.3,2023-11-07 12:20:06,25,2020-12-03 09:35:58,2023-08-05 07:53:31
0322308e-d191-4d95-b81d-d5424d54d009,6584f333-e3cf-4acf-9a58-c3490ce71295,7f770cd7-c15b-47a5-8b15-990d22fef157,8,64324.98,514599.84,2022-11-25 23:11:44,55,2021-07-25 04:30:12,2021-08-24 17:03:27
3996043a-ea01-47e7-9c8f-cc88f0667bfd,95c99233-c3f4-4ae1-8773-56bf9ffa28c9,417e5561-c9c5-45da-8747-456564c82f45,7,82152.47,575067.29,2022-05-30 15:48:45,96,2024-03-06 21:05:07,2022-04-12 13:18:02
cbc6fc51-29d6-4590-9252-16736b9e8b5f,3233ccc5-e8e4-4f2e-807c-5b107242460a,ed22d858-b155-4cfb-96a3-813e4e665c58,9,290273.5,2612461.5,2022-10-18 14:55:43,68,2022-10-14 07:33:14,2022-06-21 01:56:25
4b6a7ccc-c814-4bcf-a4dd-ce464fa76ab1,e249cb88-3cad-45f8-9b9b-b423c50b07bf,8a170eb2-a86e-4bf7-a644-e2f2f5bb70f7,5,164821.5,824107.5,2024-04-21 23:21:51,47,2024-02-28 20:12:53,2022-08-18 10:07:27
a4229f10-ea0e-4b10-b66a-13a4848ac29f,2ab37c10-e88e-4989-960f-403b08f15970,8c0b5680-4a05-4337-baa8-1e2e3bfb5245,1,19535.48,19535.48,2020-08-26 16:03:52,62,2022-08-21 05:51:13,2021-12-08 10:23:14
