id,name,category,brand,stock,price,created_at,updated_at
48bf4264-f354-4278-94b2-ba60dcf0837a,Bose QuietComfort Earbuds,Accessories,"Harris, Ward and Fowler",54,185090.75,2024-03-10 13:18:29,2024-05-07 15:44:08
6be174c1-ca4c-4b2c-b394-297b3b264ae7,Nokia X30 5G,Mobile,Stewart-Washington,42,247404.1,2024-08-14 10:27:20,2024-02-19 15:00:30
d57f9382-31ff-475e-b573-95661a3a574e,Samsung Galaxy Tab Active4 Pro,Tablet,Dunn-Anderson,80,192712.96,2024-03-19 23:47:51,2024-03-30 07:57:05
36d6caba-b829-4924-bb87-a5d646f9b35e,Samsung Galaxy A54,Mobile,Mendez Group,62,256255.35,2024-08-18 03:20:35,2024-01-12 23:17:12
93e85aca-fc52-4b36-a82d-83de050fec79,Apple iPad Pro 11 (2024),Tablet,Rush Group,0,268305.71,2024-07-10 08:08:26,2024-06-26 15:55:32
c4385ecd-b701-4df6-afc9-6852a9f049b0,Xiaomi Redmi Note 12,Mobile,White-Berry,43,150486.8,2024-01-23 17:49:34,2024-01-10 11:39:01
0852cd83-d0dc-4dbf-a2c3-b5a48794ccbc,OtterBox Defender Case,Accessories,Jones PLC,8,217360.53,2024-04-24 02:14:53,2024-04-07 16:55:05
27467cbd-b6d3-44a4-9684-0a46542d48df,Sony WH-1000XM4,Accessories,Stone and Sons,95,117075.53,2024-06-25 21:26:44,2024-05-05 23:45:20
57244fd6-af72-4631-a539-daafdaa2527c,iPad Pro 12.9 (2024),Tablet,Johnson-Rios,33,127749.35,2024-03-29 02:20:45,2024-07-12 03:03:21
27e33e80-fc76-4f63-8f45-459da6a438fd,Amazon Fire HD 8,Tablet,Williamson Ltd,1,226087.02,2024-08-21 23:59:45,2024-03-05 21:43:51
0a2d641a-daea-4658-aae9-2d701f8234ab,Sony WH-1000XM4,Accessories,Hoffman Inc,89,29301.14,2024-02-08 23:15:29,2024-07-07 14:25:59
967c724e-4bd0-4339-9492-69e5f242d1c0,Amazon Fire HD 10,Tablet,"Foley, Underwood and Evans",40,12951.27,2024-02-13 14:10:43,2024-04-21 04:55:34
adf0fcba-ce19-48c7-a90b-a58359b14123,Asus ZenBook 14,Laptop,Mccoy LLC,68,76291.21,2024-01-15 17:54:44,2024-06-24 11:05:31
8aa139c4-85ea-4353-87fc-11e53870cea2,Apple iPad Pro 11 (2024),Tablet,Hines and Sons,13,293735.15,2024-07-15 20:58:46,2024-08-12 17:36:38
74507b56-893c-4483-82c8-d2f30e129a34,Asus ROG Phone 7,Mobile,Tucker-Valdez,86,178054.06,2024-03-02 15:41:37,2024-03-17 07:43:45
900ad5c0-2a64-43ca-88c7-7ce0bad93b52,Apple Pencil (2nd Gen),Accessories,Powell Ltd,41,53888.82,2024-06-10 10:12:31,2024-02-07 12:10:40
921e9b5c-9cec-4dad-89de-c386b09b53c0,Samsung Galaxy Note 20,Mobile,Jones Inc,41,84563.65,2024-08-10 22:50:58,2024-04-20 08:26:53
0776253f-e648-4d61-8ca0-7982374fad04,Apple iPad Air 5,Tablet,"Murphy, Foster and Meza",46,222551.56,2024-06-15 23:10:10,2024-06-20 11:28:53
f355393c-2647-4491-b0ef-b54d4d00e03e,Asus ZenBook 14,Laptop,"Mitchell, Diaz and Martin",10,210838.44,2024-09-03 05:12:05,2024-08-04 19:21:20
bdb4bcc7-1b9f-41bf-ab06-4d7d50069341,Microsoft Surface Book 3,Laptop,Mathews and Sons,65,260169.32,2024-09-02 07:44:54,2024-08-21 08:59:12
2b52b262-f4fa-49b8-9005-68fb9495f83c,MSI GS66 Stealth,Laptop,Williams Inc,41,196881.48,2024-03-25 12:27:47,2024-08-21 19:39:34
7e8e2db3-f24f-4a29-904e-7d0a92811b2c,Jabra Elite 85t,Accessories,Castillo LLC,30,269029.88,2024-02-17 19:28:34,2024-06-23 02:42:38
e91a208f-05ae-4b5b-9df2-498669bdbcd9,Belkin BoostCharge Pro,Accessories,Alexander-Horn,10,148641.44,2024-04-17 19:38:02,2024-05-09 04:41:55
5c9e5331-4a8b-4d22-aa0c-6201aefc39f3,Huawei P60 Pro,Mobile,Norton PLC,0,270792.22,2024-09-05 20:33:11,2024-01-26 12:00:43
97daf790-6f30-4366-a516-3a46dd523b65,Razer Naga X,Accessories,Woodward and Sons,82,13688.77,2024-08-24 09:24:04,2024-08-06 08:32:41
f38936fa-0207-463e-9d6d-cf61ea756db2,Razer Blade 15,Laptop,"Brady, Garza and Merritt",70,219444.85,2024-05-17 22:20:36,2024-05-11 23:37:24
79f0edef-2b3a-43ac-9bda-1cc06251e567,iPhone 14,Mobile,Cox-Grant,74,113793.0,2024-03-08 09:56:13,2024-02-06 22:31:17
988f5a6c-bff5-4561-9a02-f869dee0e743,Microsoft Surface Laptop 5,Laptop,"Ramsey, Cruz and Rodriguez",29,124516.14,2024-04-26 14:45:19,2024-01-07 18:05:34
